trabajo;est.civ;educacion;mora;vivienda;prestamo;contacto;mes;presultado;suscrito
Desempleado;Casado;primaria;no;no;no;celular;Octubre;desconocido;no
Servis;Casado;secundaria;no;si;si;celular;Mayo;fracaso;no
Ejecutivo;Soltero;Superior;no;si;no;celular;abril;fracaso;no
Ejecutivo;Casado;Superior;no;si;si;desconocido;Junio;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Febrero;fracaso;no
Independientes;Casado;Superior;no;si;no;celular;Mayo;otro;no
Tecnico;Casado;secundaria;no;si;no;celular;Mayo;desconocido;no
empresario;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
Servis;Casado;primaria;no;si;si;celular;abril;fracaso;no
Servis;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;abril;desconocido;no
Tecnico;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Estudiante;Soltero;secundaria;no;no;no;celular;abril;desconocido;si
Obrero;Casado;secundaria;no;si;si;celular;Enero;fracaso;no
Ejecutivo;Casado;Superior;no;no;si;celular;Agosto;desconocido;no
Tecnico;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
admin.;Soltero;Superior;no;si;no;celular;abril;fracaso;no
Obrero;Soltero;primaria;no;si;no;desconocido;Mayo;desconocido;no
Servis;Casado;secundaria;no;no;no;celular;Julio;otro;no
Ejecutivo;Divorciado;desconocido;no;si;no;celular;Noviembre;desconocido;no
Ejecutivo;Divorciado;Superior;no;no;no;celular;Noviembre;desconocido;no
Servis;Soltero;secundaria;no;no;no;desconocido;Junio;desconocido;no
empresario;Casado;secundaria;no;no;no;celular;Julio;desconocido;no
Emple_hogar;Casado;Superior;no;no;no;celular;Enero;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Noviembre;desconocido;no
Obrero;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Retirado;Casado;desconocido;no;no;no;teléfono;Agosto;fracaso;no
Independientes;Casado;secundaria;no;no;si;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;no;si;celular;Agosto;desconocido;no
Retirado;Divorciado;secundaria;no;no;no;teléfono;Julio;desconocido;si
Tecnico;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Casado;secundaria;no;no;no;celular;Noviembre;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;Agosto;desconocido;si
Tecnico;Casado;Superior;no;no;no;celular;Agosto;desconocido;si
admin.;Divorciado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Retirado;Divorciado;primaria;no;no;no;teléfono;Octubre;desconocido;si
Obrero;Casado;secundaria;no;si;no;celular;Noviembre;desconocido;si
Ejecutivo;Casado;secundaria;no;si;no;celular;Mayo;fracaso;si
Servis;Soltero;Superior;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;desconocido;Noviembre;fracaso;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Agosto;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;Mayo;desconocido;no
Tecnico;Casado;Superior;no;si;no;celular;Mayo;desconocido;no
Tecnico;Soltero;Superior;no;si;no;celular;Noviembre;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;primaria;no;no;no;teléfono;Febrero;otro;no
Obrero;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
empresario;Soltero;primaria;si;si;si;celular;Febrero;desconocido;no
admin.;Casado;desconocido;no;si;no;celular;Enero;éxito;si
Obrero;Divorciado;primaria;no;no;no;desconocido;Junio;desconocido;si
Tecnico;Soltero;secundaria;no;si;no;celular;Agosto;desconocido;no
Tecnico;Soltero;secundaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Casado;Superior;no;si;no;celular;Junio;otro;si
Obrero;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;si;no;teléfono;Julio;desconocido;no
Ejecutivo;Casado;secundaria;no;no;si;teléfono;Febrero;desconocido;no
Independientes;Soltero;Superior;no;no;no;celular;Noviembre;desconocido;no
Retirado;Soltero;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Tecnico;Divorciado;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Obrero;Casado;primaria;no;no;si;teléfono;Julio;desconocido;no
Retirado;Casado;secundaria;no;si;no;celular;Octubre;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Servis;Casado;secundaria;no;no;no;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;no;no;celular;Octubre;desconocido;no
Obrero;Divorciado;secundaria;no;si;no;celular;Mayo;fracaso;no
Servis;Casado;secundaria;no;si;no;celular;Enero;desconocido;no
Tecnico;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Ejecutivo;Casado;secundaria;no;no;si;celular;Julio;desconocido;no
Tecnico;Soltero;Superior;no;no;no;celular;Noviembre;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Julio;éxito;si
empresario;Divorciado;Superior;si;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;desconocido;Mayo;desconocido;no
Servis;Casado;Superior;no;si;no;desconocido;Junio;desconocido;no
Retirado;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Divorciado;Superior;no;no;no;celular;Agosto;desconocido;no
Obrero;Divorciado;secundaria;no;si;no;celular;Mayo;otro;no
Tecnico;Soltero;secundaria;no;no;si;celular;Agosto;desconocido;no
Obrero;Divorciado;primaria;no;no;no;celular;Febrero;desconocido;no
Desempleado;Casado;secundaria;no;si;no;celular;Noviembre;fracaso;no
admin.;Divorciado;secundaria;no;si;no;celular;Julio;desconocido;si
Retirado;Casado;primaria;no;no;no;celular;Agosto;desconocido;no
admin.;Soltero;secundaria;no;si;si;celular;Mayo;desconocido;no
Servis;Casado;secundaria;no;no;no;teléfono;Julio;fracaso;si
Ejecutivo;Casado;Superior;no;no;no;celular;Junio;desconocido;si
Obrero;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Soltero;secundaria;no;no;si;celular;Julio;desconocido;no
Obrero;Soltero;primaria;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;abril;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;primaria;no;no;no;celular;Noviembre;desconocido;no
Obrero;Casado;primaria;no;si;no;desconocido;Junio;desconocido;no
Servis;Soltero;secundaria;no;si;no;celular;Mayo;desconocido;si
Ejecutivo;Soltero;Superior;no;no;no;celular;Agosto;desconocido;no
Obrero;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
desconocido;Soltero;Superior;no;no;no;celular;Julio;desconocido;no
admin.;Casado;Superior;no;si;no;desconocido;Mayo;desconocido;no
admin.;Soltero;Superior;no;no;no;celular;Octubre;fracaso;no
Obrero;Divorciado;secundaria;no;no;no;celular;Febrero;éxito;no
Desempleado;Soltero;primaria;no;no;no;celular;Febrero;desconocido;si
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;Mayo;fracaso;no
Tecnico;Casado;secundaria;no;no;no;teléfono;Noviembre;desconocido;no
Servis;Soltero;primaria;no;si;no;teléfono;Mayo;desconocido;no
Ejecutivo;Soltero;secundaria;no;no;no;desconocido;Agosto;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;abril;fracaso;no
Obrero;Casado;secundaria;no;si;si;desconocido;Junio;desconocido;no
Independientes;Casado;Superior;no;si;no;celular;Febrero;desconocido;no
Desempleado;Casado;primaria;no;no;no;celular;abril;desconocido;si
Emple_hogar;Casado;primaria;no;si;no;celular;Julio;desconocido;no
Estudiante;Soltero;secundaria;no;no;no;celular;Junio;éxito;si
Ejecutivo;Casado;Superior;no;si;no;teléfono;Julio;desconocido;no
Independientes;Casado;secundaria;no;si;si;celular;Julio;desconocido;no
Obrero;Soltero;secundaria;no;no;no;celular;Enero;fracaso;no
Estudiante;Soltero;secundaria;no;no;no;teléfono;Agosto;desconocido;si
Tecnico;Soltero;secundaria;no;no;si;celular;Noviembre;desconocido;si
Servis;Casado;secundaria;no;si;no;celular;Mayo;desconocido;no
admin.;Soltero;secundaria;no;no;si;celular;Agosto;desconocido;no
Obrero;Casado;primaria;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Divorciado;Superior;no;no;no;desconocido;Junio;desconocido;no
admin.;Divorciado;secundaria;no;si;no;celular;Julio;desconocido;no
Obrero;Casado;primaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;no;si;celular;Julio;desconocido;no
Ejecutivo;Soltero;Superior;si;si;no;celular;Mayo;fracaso;no
Independientes;Soltero;Superior;no;no;no;celular;Agosto;desconocido;si
Desempleado;Soltero;secundaria;no;no;no;desconocido;Setiembre;desconocido;no
Tecnico;Soltero;secundaria;no;no;si;celular;Julio;desconocido;no
Obrero;Soltero;secundaria;no;no;no;teléfono;Febrero;fracaso;no
Retirado;Divorciado;Superior;no;no;no;celular;abril;desconocido;si
Obrero;Casado;primaria;no;si;no;celular;Noviembre;desconocido;no
Obrero;Casado;primaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;desconocido;si;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;desconocido;no;si;no;celular;Mayo;fracaso;no
Tecnico;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Agosto;desconocido;no
admin.;Soltero;secundaria;no;si;si;celular;Mayo;fracaso;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Febrero;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Febrero;desconocido;si
Ejecutivo;Casado;desconocido;no;no;no;desconocido;Junio;desconocido;no
Ejecutivo;Divorciado;Superior;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;Julio;desconocido;no
Servis;Divorciado;desconocido;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;si;no;celular;Noviembre;desconocido;no
admin.;Casado;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;no;si;celular;Agosto;desconocido;no
Retirado;Casado;primaria;no;no;si;desconocido;Junio;desconocido;no
Tecnico;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;Enero;otro;no
Tecnico;Soltero;desconocido;no;si;no;desconocido;Mayo;desconocido;no
empresario;Casado;desconocido;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;si;si;celular;Julio;desconocido;no
Desempleado;Divorciado;primaria;si;si;si;desconocido;Julio;desconocido;no
empresario;Casado;secundaria;no;no;no;celular;Febrero;desconocido;no
Tecnico;Casado;secundaria;no;no;no;desconocido;Mayo;desconocido;no
Tecnico;Divorciado;secundaria;no;no;no;celular;Agosto;desconocido;no
admin.;Casado;secundaria;no;no;no;celular;Junio;éxito;si
Tecnico;Casado;secundaria;no;si;no;celular;Enero;fracaso;no
Independientes;Soltero;secundaria;no;no;no;celular;Enero;desconocido;no
Tecnico;Casado;secundaria;no;si;no;celular;abril;desconocido;no
Obrero;Casado;Superior;no;no;no;desconocido;Octubre;desconocido;no
admin.;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
admin.;Soltero;secundaria;no;no;si;desconocido;Mayo;desconocido;no
Servis;Casado;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Octubre;fracaso;si
admin.;Soltero;secundaria;no;si;no;desconocido;Junio;desconocido;no
Emple_hogar;Casado;secundaria;no;no;no;teléfono;Marzo;desconocido;no
Obrero;Divorciado;secundaria;no;si;no;celular;Enero;desconocido;no
Tecnico;Casado;Superior;no;no;no;desconocido;Mayo;desconocido;no
Obrero;Soltero;secundaria;no;si;si;celular;Julio;desconocido;no
Tecnico;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Enero;desconocido;no
admin.;Soltero;secundaria;no;si;si;celular;abril;otro;no
admin.;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Noviembre;desconocido;no
admin.;Casado;secundaria;no;si;si;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;si;si;celular;Julio;desconocido;no
admin.;Casado;secundaria;no;si;no;celular;Mayo;fracaso;no
desconocido;Casado;desconocido;no;no;no;desconocido;Junio;desconocido;no
admin.;Casado;Superior;no;si;no;celular;Noviembre;fracaso;no
Tecnico;Soltero;Superior;no;si;si;celular;Febrero;desconocido;no
Servis;Soltero;secundaria;no;no;si;celular;Julio;desconocido;no
admin.;Soltero;secundaria;no;si;no;celular;Mayo;desconocido;no
admin.;Divorciado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Servis;Casado;secundaria;no;si;no;desconocido;Junio;desconocido;no
Independientes;Casado;Superior;no;si;no;celular;Julio;desconocido;no
admin.;Casado;Superior;no;si;no;teléfono;Noviembre;éxito;no
Servis;Soltero;secundaria;no;si;no;celular;Febrero;otro;no
Tecnico;Casado;secundaria;no;si;no;celular;Mayo;fracaso;no
Retirado;Casado;secundaria;no;si;no;celular;Junio;desconocido;si
Obrero;Casado;primaria;no;si;si;teléfono;Julio;desconocido;no
Independientes;Casado;secundaria;no;si;no;celular;Julio;desconocido;no
Ejecutivo;Soltero;Superior;no;no;no;celular;Noviembre;desconocido;no
Servis;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Estudiante;Soltero;secundaria;no;no;no;celular;Junio;desconocido;no
Retirado;Divorciado;secundaria;no;si;no;celular;Julio;desconocido;no
Obrero;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Servis;Casado;secundaria;no;no;si;celular;Noviembre;desconocido;no
Tecnico;Casado;Superior;no;no;no;celular;abril;desconocido;no
Retirado;Casado;secundaria;no;no;no;teléfono;abril;éxito;si
Tecnico;Soltero;Superior;no;si;no;celular;Mayo;éxito;no
Tecnico;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Soltero;Superior;no;si;no;celular;Agosto;fracaso;si
Ejecutivo;Divorciado;Superior;no;si;no;celular;Noviembre;fracaso;no
Obrero;Soltero;Superior;no;no;no;teléfono;abril;desconocido;si
Tecnico;Soltero;Superior;no;si;no;celular;Noviembre;desconocido;no
Tecnico;Casado;secundaria;no;si;si;celular;Julio;desconocido;no
Tecnico;Casado;secundaria;no;si;no;celular;Julio;fracaso;no
Servis;Soltero;secundaria;no;si;no;celular;Febrero;fracaso;no
Retirado;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Soltero;secundaria;no;si;no;celular;Agosto;desconocido;no
Obrero;Soltero;secundaria;no;si;no;desconocido;Junio;desconocido;no
Tecnico;Casado;Superior;no;si;no;celular;Mayo;otro;no
Independientes;Casado;secundaria;no;no;no;celular;Noviembre;desconocido;no
Ejecutivo;Casado;Superior;si;no;no;celular;Agosto;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Agosto;desconocido;si
Tecnico;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;Mayo;fracaso;no
Obrero;Casado;primaria;no;si;si;teléfono;Julio;desconocido;no
Servis;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
Retirado;Casado;Superior;no;si;no;celular;Julio;desconocido;no
Tecnico;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Obrero;Casado;primaria;no;no;no;desconocido;Mayo;desconocido;no
Independientes;Casado;primaria;no;no;no;celular;Agosto;desconocido;no
Ejecutivo;Casado;primaria;no;si;no;celular;Noviembre;desconocido;no
Servis;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Casado;secundaria;no;no;no;celular;Mayo;desconocido;no
Tecnico;Casado;secundaria;no;si;no;celular;abril;otro;no
Obrero;Casado;primaria;no;si;no;celular;Mayo;desconocido;no
Tecnico;Casado;Superior;no;si;si;celular;Setiembre;otro;no
desconocido;Casado;secundaria;no;no;no;celular;Agosto;desconocido;no
empresario;Casado;Superior;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Soltero;secundaria;no;si;no;celular;Mayo;fracaso;no
Obrero;Soltero;secundaria;no;si;no;celular;Julio;éxito;no
Estudiante;Soltero;secundaria;no;no;no;celular;Enero;desconocido;no
Tecnico;Divorciado;secundaria;si;no;no;celular;Agosto;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;abril;otro;no
Tecnico;Casado;desconocido;no;si;no;desconocido;Mayo;desconocido;no
Emple_hogar;Casado;primaria;no;no;no;desconocido;Junio;desconocido;no
Desempleado;Casado;Superior;no;si;no;celular;Julio;desconocido;no
admin.;Soltero;secundaria;no;si;no;celular;Julio;desconocido;no
Independientes;Casado;Superior;no;no;no;celular;Noviembre;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
admin.;Casado;secundaria;no;si;si;desconocido;Junio;desconocido;no
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Enero;otro;no
Ejecutivo;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Desempleado;Soltero;secundaria;no;no;no;celular;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Julio;desconocido;no
Tecnico;Casado;secundaria;no;no;si;celular;Mayo;fracaso;no
Ejecutivo;Casado;Superior;no;si;no;celular;Febrero;desconocido;no
Ejecutivo;Casado;Superior;no;no;no;celular;Agosto;desconocido;no
Obrero;Divorciado;primaria;no;no;si;celular;Julio;desconocido;no
Retirado;Casado;primaria;no;si;no;celular;Febrero;fracaso;no
Obrero;Casado;primaria;no;no;no;celular;Agosto;desconocido;no
Obrero;Casado;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;no;si;celular;Julio;desconocido;no
Desempleado;Soltero;secundaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Divorciado;Superior;no;si;no;celular;Julio;desconocido;no
Obrero;Soltero;secundaria;no;no;si;celular;Julio;desconocido;si
Emple_hogar;Casado;secundaria;no;si;si;celular;Julio;desconocido;no
Tecnico;Soltero;secundaria;no;no;no;celular;Agosto;desconocido;no
Tecnico;Soltero;Superior;no;no;no;celular;Febrero;desconocido;no
empresario;Casado;Superior;no;no;si;celular;Julio;desconocido;no
Tecnico;Casado;Superior;no;no;no;celular;Agosto;fracaso;no
Independientes;Casado;secundaria;no;si;si;desconocido;Mayo;desconocido;no
Estudiante;Soltero;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Tecnico;Casado;Superior;no;si;si;celular;Julio;desconocido;no
admin.;Soltero;secundaria;no;si;no;teléfono;Julio;desconocido;no
Servis;Divorciado;secundaria;no;no;no;celular;Julio;desconocido;no
Servis;Casado;secundaria;no;si;no;celular;Junio;fracaso;no
Obrero;Soltero;secundaria;no;si;si;celular;Mayo;desconocido;si
Ejecutivo;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Independientes;Casado;secundaria;no;si;no;celular;Noviembre;desconocido;no
Obrero;Soltero;Superior;no;si;no;celular;Julio;desconocido;no
Tecnico;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Emple_hogar;Casado;Superior;no;no;no;celular;Agosto;fracaso;no
Tecnico;Soltero;Superior;no;no;no;celular;Agosto;desconocido;no
Obrero;Casado;primaria;no;no;no;celular;Noviembre;desconocido;no
Obrero;Divorciado;primaria;no;si;no;celular;Mayo;desconocido;no
Independientes;Casado;Superior;no;no;no;desconocido;Mayo;desconocido;no
Obrero;Casado;secundaria;no;si;no;celular;abril;desconocido;no
Obrero;Soltero;secundaria;no;si;no;desconocido;Junio;desconocido;no
admin.;Divorciado;secundaria;no;no;no;desconocido;Mayo;desconocido;no
Estudiante;Casado;secundaria;no;no;no;desconocido;Junio;desconocido;no
Tecnico;Soltero;Superior;no;si;no;desconocido;Mayo;desconocido;no
admin.;Casado;secundaria;no;si;no;desconocido;Junio;desconocido;no
Independientes;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
Ejecutivo;Casado;Superior;no;si;no;celular;Julio;desconocido;no
admin.;Casado;Superior;no;no;si;celular;Agosto;éxito;si
Obrero;Casado;primaria;no;si;no;celular;Agosto;desconocido;si
Obrero;Casado;secundaria;no;si;no;desconocido;Mayo;desconocido;no
